date,total_sleep_h,time_in_bed_h,efficiency,deep_min,rem_min,light_min,latency_min,avg_hrv,hrv_balance,resting_hr,avg_hr,resp_rate,temp_dev_f,spo2,sleep_score,readiness_score,bedtime,wake,stress_high_min,recovery_high_min,stress_summary,notes,w_pressure,w_pressure_delta,w_humidity,w_rain_in,w_sunshine_h,w_temp_f,c_mood,c_energy,c_comfort,c_hands,c_bodycalm,c_calm,c_clarity,c_indoor_humidity
2026-02-14,8.19,9.01,91,41.0,121.5,329.0,4.5,81,,55,56.9,13.1,-2.05,96.5,92,94,22:38,07:38,,,,,1011.2,,83,0.02,11.3,74.9,,,,,,,,
2026-02-15,6.41,7.57,85,32.5,130.5,221.5,10.0,77,,52,56.1,13.5,-0.27,95.3,83,80,22:25,05:59,,,,,1011.8,0.6,86,0.27,11.3,74.2,,,,,,,,
2026-02-16,5.45,6.48,84,92.5,91.5,143.0,6.0,50,,53,55.6,14.2,-0.95,95.9,80,82,23:25,05:54,,,,,1011.4,-0.4,85,0.0,11.5,75.1,,,,,,,,
2026-02-17,7.12,8.7,82,85.5,70.5,271.0,3.5,59,,52,55.2,13.5,1.24,95.0,86,80,22:28,07:09,,,,,1010.9,-0.5,84,0.0,11.5,76.8,,,,,,,,
2026-02-18,5.71,7.78,73,42.5,86.5,213.5,8.0,45,,54,56.1,14.1,0.59,95.7,79,83,22:57,06:44,,,,,1010.8,-0.1,82,0.11,11.6,76.6,,,,,,,,
2026-02-19,6.44,7.08,91,32.5,56.0,298.0,5.5,75,,51,53.2,13.9,0.16,95.3,84,87,22:48,05:53,15.0,195.0,normal,,1009.8,-1.0,79,0.07,11.6,76.6,,,,,,,,
2026-02-20,6.33,7.37,86,41.0,75.5,263.5,8.0,52,,52,54.5,13.8,-0.34,95.4,86,88,23:19,06:41,240.0,75.0,stressful,,1009.6,-0.2,83,0.35,11.0,75.8,,,,,,,,
2026-02-21,6.77,7.78,87,27.5,108.0,270.5,4.5,44,85,51,55.2,14.1,0.09,95.8,84,85,22:32,06:19,60.0,105.0,normal,,1010.6,1.0,88,0.47,11.6,75.4,,,,,,,,
2026-02-22,7.83,9.83,80,40.0,105.5,324.0,5.0,70,89,53,54.9,13.5,0.09,95.9,86,89,22:07,07:57,135.0,135.0,normal,,1011.6,1.0,88,0.98,11.0,74.9,,,,,,,,
2026-02-23,5.49,6.68,82,27.5,27.5,274.5,38.5,87,87,52,55.5,13.9,-0.43,95.6,62,79,00:12,06:53,405.0,45.0,stressful,,1011.0,-0.6,88,0.08,11.2,74.9,,,,,,,,
2026-02-24,6.08,7.83,78,40.0,71.0,253.5,10.5,74,85,55,56.4,13.9,0.02,95.4,81,83,22:53,06:43,105.0,75.0,normal,,1010.2,-0.8,82,0.05,11.7,74.5,,,,,,,,
2026-02-25,6.47,8.05,80,4.5,72.0,312.0,10.5,83,88,53,56.8,13.2,1.06,95.7,73,70,22:39,06:43,105.0,150.0,normal,,1009.3,-0.9,79,0.0,11.6,76.2,,,,,,,,
2026-02-26,6.55,7.24,90,3.5,67.0,322.5,11.5,97,88,52,54.6,13.4,0.56,96.7,79,83,22:57,06:11,15.0,195.0,normal,,1009.5,0.2,81,0.01,11.4,77.2,,,,,,,,
2026-02-27,6.49,7.46,87,30.0,85.5,274.0,10.0,68,85,53,56.1,13.6,-0.56,95.8,84,84,23:24,06:51,255.0,0.0,stressful,,1009.3,-0.2,79,0.01,11.7,76.5,,,,,,,,
2026-02-28,7.27,8.13,89,60.0,119.0,257.0,8.0,52,86,54,55.8,14.5,-0.41,96.5,92,85,23:26,07:34,150.0,0.0,normal,,1008.6,-0.7,78,0.0,11.7,76.4,,,,,,,,
2026-03-01,7.58,8.52,89,19.5,127.5,307.5,8.0,103,92,53,55.4,13.5,-0.14,96.6,86,88,23:04,07:36,15.0,90.0,normal,,1008.4,-0.2,75,0.0,11.7,77.2,,,,,,,,
2026-03-02,6.72,7.6,88,20.0,114.5,268.5,9.0,91,88,54,55.8,13.6,0.25,96.1,83,84,23:03,06:39,225.0,105.0,stressful,997a4f96-65d0-469e-a45e-64a5d74f4232,1008.0,-0.4,77,0.13,11.6,76.7,,,,,,,,
2026-03-03,6.27,7.4,85,60.0,92.5,223.5,13.0,65,88,54,56.6,13.4,0.16,95.4,88,84,22:58,06:23,15.0,180.0,normal,8f5a1e81-2ca9-42c7-880b-d66c64766c78,1007.7,-0.3,81,0.04,11.2,77.1,,,,,,,,
2026-03-04,6.62,8.25,80,29.5,68.0,300.0,12.0,91,93,52,55.4,13.8,0.09,95.8,83,88,23:30,07:45,45.0,60.0,normal,,1009.3,1.6,82,0.08,11.0,77.6,,,,,,,,
